cm,pixel
40,372.171059153783
40,370.493669723835
40,371.614749791504
40,373.033588198827
40,371.899468952101
40,370.485304169515
40,371.614749791504
40,371.058440429224
40,372.447026657553
40,371.330225155834
40,372.75294707032
40,372.166780587833
40,372.171059153783
42,390.183487064117
42,392.052972410707
42,389.876144514194
42,391.105871766029
42,389.861267341582
42,390.813287371337
42,389.871106111736
42,390.798410198725
42,390.183487064117
42,390.813406388718
42,390.486029246344
42,389.871106111736
42,389.563529246344
42,390.813648293963
44,408.650322939093
44,407.289256198347
44,409.333703729426
44,409.672546704632
44,408.98347107438
44,407.98347107438
44,408.98347107438
44,407.294811001219
44,407.978191791552
44,408.672546704632
44,408.9891659143
44,408.311479963886
44,409.678241544552
44,407.98347107438
44,408.328008889506
46,426.71964017991
46,427.864915523321
46,427.0949262211
46,427.101396670086
46,427.476516802328
46,428.214313895684
46,428.958415529078
46,428.214313895684
46,427.47021226229
46,427.832557405508
46,428.227426575487
46,426.357295036692
46,428.596242167691
46,428.951945080092
46,427.852140534297
48,446.474025974026
48,447.287514370083
48,446.869778869779
48,446.474224015508
48,446.877172418457
48,446.093060175629
48,446.869778869779
48,448.100804724658
48,446.481419522704
50,468.605679903537
50,468.137880986938
50,468.129380053908
50,469.047728421057
50,468.579929504458
50,468.14614357605
50,469.931577856106
50,468.579929504458
50,468.129380053908
52,485.21840419336
52,485.695981362842
52,488.590099009901
52,487.634944670938
52,486.183110075713
52,485.705532906232
52,485.21840419336
52,486.183110075713
52,485.21840419336
54,505.15700610141
54,505.146223437829
54,507.248842836104
54,506.213707132338
54,505.178911933737
54,503.603975798379
54,504.628655585946
54,504.628655585946
54,505.663791289712
56,526.781056966369
56,526.242339907242
56,526.218256691832
56,525.655456417296
56,525.667304844128
56,525.104504569591
56,526.781056966369
56,523.99075244735
56,525.104504569592
58,526.781056966369
58,526.242339907242
58,526.218256691832
58,525.655456417296
58,525.667304844128
58,525.104504569591
58,526.781056966369
58,523.99075244735
58,525.104504569592
60,562.333461390074
60,561.063139891204
60,561.721245547989
60,561.66144200627
60,561.077077324701
60,562.31902019392
60,563.664090193319
62,577.509478209889
62,576.851900022238
62,576.131326949385
62,577.493453195232
62,577.493453195232
62,576.820402579637
62,576.851900022238
62,579.512605042017
64,599.312806782686
64,598.589277745904
64,599.277108433735
64,600.017849174476
64,601.499330655957
64,596.385542168675
64,601.481481481481
66,615.836146272855
66,614.336885571063
66,612.741443975621
66,616.576183778716
66,618.950809621696
66,616.692992895525
66,613.500703234881
66,615.836885571063
66,618.133145804032
68,638.184972921815
68,637.40976917819
68,635.727430464273
68,635.748169219188
68,634.088250190848
68,633.226773226773
68,633.268250736605
68,634.06669280087
70,649.094736842105
70,652.59311669838
70,650.002734107997
70,652.59311669838
70,651.77570708097
70,653.433854907539
70,652.56978810663
70,656.909815078236
72,673.087128224115
72,670.379094162656
72,670.354806861656
72,669.44403307417
72,670.354806861656
72,672.151055164754
72,670.379094162656
72,673.06182895224
74,692.985244802146
74,693.975184439973
74,692.022803487592
74,690.070422535211
74,690.097920858484
74,690.070422535211
74,693.975184439973
74,690.070422535211
76,709.027597811936
76,710.017537449763
76,708.068883891585
76,710.047497259774
76,709.057557621947
76,711.066130800146
76,711.064864892681
76,713.162051593448
78,726.833121072156
78,731.154122435949
78,729.02563444114
78,728.928884986831
78,727.913015716581
78,728.961609066965
78,730.008779631256
80,747.748251748252
80,745.454545454546
80,748.895104895105
80,747.782486170546
80,746.635633023693
80,747.784090909091
80,746.601398601399
80,751.364797515917
82,766.384615384616
82,770.04532967033
82,770.047146401985
82,767.604853479854
82,773.668498168498
82,766.384615384616
82,764.092615717616
82,767.604853479854
82,769.970238095238
84,787.33104492458
84,789.769585253456
84,785.990783410138
84,788.551283019818
84,784.7705453149
84,782.21198156682
84,784.7705453149
86,798.793281458538
86,802.6980433633
86,801.397144368059
86,797.492382463297
86,802.654680063458
86,798.877943139181
86,794.931882853617
88,820.230198043518
88,821.5744603386
88,824.215059738816
88,824.215059738816
88,824.260627952209
88,818.883730834884
88,822.870797443735
90,841.087083576856
90,844.013042542065
90,842.572764465225
90,846.888553938909
90,845.400350672121
90,842.721584791904
90,842.524839275278
90,844.060967732013
92,864.808447450915
92,863.211044853513
92,860.181488203267
92,864.699248120301
92,860.287788436609
92,866.346901737101
94,885.017088174983
94,883.534897850687
94,881.881446039341
94,883.475734791524
94,883.475734791524
94,881.878332194122
96,904.484848484849
96,904.547360396417
96,897.917748917749
96,906.203926052983
96,901.171717171717
96,897.976911976912
96,904.484848484849
96,897.917748917749
98,924.863731656184
98,923.14465408805
98,924.995968392195
98,926.648927592324
98,930.087082728592
98,924.92985002419
98,926.648927592324
100,942.583454281567
100,942.583454281567
100,942.723469649108
100,940.798258345428
100,942.653461965338
100,946.363869205157
100,939.083070093059
102,957.42928370187
102,955.50407239819
102,894.060172866936
102,959.288687782805
102,951.719457013575
102,959.214479638009
102,953.574660633484
104,984.157503001201
104,978.290516206483
104,816.541871278637
104,978.211764705883
104,980.298679471789
104,980.298679471789
104,876.182386419605
106,992.032653061225
106,996.132653061225
106,1002.15714285714
106,992.032653061225
106,895.791505453636
106,998.140816326531
106,990.103241296518
108,1021.07802865827
108,1018.72448979592
108,1016.63265306122
108,1025.17802865827
108,1027.3588797221
108,1025.08901432914
108,1020.81632653061
110,1033.90723819593
110,1040.26595744681
110,1038.08510638298
110,1035.90425531915
110,1033.72340425532
110,1038.17992599445
110,1029.6345503974
112,1053.6355226642
112,1060.65849522047
112,1055.9111933395
112,1051.65063213074
112,1056.00601295097
112,1049.27382053654
112,1058.1868640148
112,1065.11501695961
114,1083.93412384717
114,1083.93412384717
114,1088.68774703557
114,1083.82608695652
114,1088.57971014493
114,1081.65845317187
114,1088.57971014493
116,1103.27272727273
116,1103.27272727273
116,1095.81818181818
116,1108.35799859056
116,1108.24242424242
116,1103.27272727273
116,1103.27272727273
118,1113.32769556025
118,1128.69908386187
118,1133.7843551797
118,1123.49823819591
118,1120.89781536293
118,1120.89781536293
118,1123.49823819591
118,1118.29739252995
120,1149.63455149502
120,1141.70945333736
120,1138.98520084567
120,1128.58350951374
120,1136.38477801268
120,1147.03412866204
120,1141.70945333736
120,1136.63243733011
